Actual,L_Predicted,DTR_Predicted,RFR_Predict,XGBR_Predict
74.4,76.52431077270334,74.7,76.255,75.108986
74.1,76.39770508353386,75.4,76.41699999999999,74.957664
66.9,67.16071834403182,67.2,67.36999999999993,66.02206
77.0,67.33074188433885,71.1,72.09500000000004,72.75025
72.9,72.68172733744345,72.7,72.88399999999999,73.58787
73.5,73.5828478242692,74.2,74.01599999999999,75.073235
67.3,67.99146976726479,67.2,67.82699999999997,66.616165
55.6,58.900209464490416,50.0,55.13399999999998,54.233578
64.7,64.56439136829117,64.4,64.32999999999998,62.97228
72.8,73.68432586479055,72.5,73.004,71.87499
79.7,77.68930172287568,85.0,81.31900000000003,81.51286
63.0,64.20780914724494,61.9,62.972000000000016,62.587925
72.6,69.2908063269899,72.7,72.73399999999998,73.76661
70.0,65.88963016506817,72.0,70.531,71.17369
71.3,66.96925724872588,71.0,69.51000000000002,70.75999
51.0,60.75162231071185,49.7,53.844000000000015,50.657467
72.6,73.50376230794811,73.3,73.31500000000004,73.07501
82.3,78.05227085863788,81.9,82.3249999999999,82.29539
65.3,67.13780969473228,63.0,66.23699999999998,67.37664
78.6,71.74671638876264,77.7,77.707,77.71654
79.0,69.4519662701963,72.5,71.93699999999998,71.90199
73.4,73.08089952991047,73.2,73.19399999999997,73.23491
64.9,66.55021219755747,65.7,64.97400000000005,64.17765
65.1,71.47718853704465,65.7,65.83799999999992,64.95645
73.5,73.15643866500132,73.9,74.11200000000004,72.79487
73.6,73.21177783311353,73.3,73.75199999999994,74.020004
58.5,61.80686608739587,58.2,58.25699999999993,59.239685
68.7,73.5671308303698,68.0,69.77799999999996,67.05227
64.0,65.67342085069069,61.1,63.18800000000003,64.104996
74.8,74.52838030478097,75.5,74.818,74.27208
61.3,61.64797314930202,62.8,63.300000000000054,62.889656
69.8,71.09921224607793,69.3,70.59100000000005,70.736916
72.7,72.39913313821006,72.5,72.95600000000005,73.30431
79.2,78.50518809313874,82.0,80.78099999999996,82.032616
73.2,73.54707341578609,73.7,73.58999999999996,73.41209
81.7,76.37211361632363,81.5,84.207,82.52929
62.0,66.33017198645,56.0,62.14200000000001,62.307304
87.0,78.00932371630479,81.0,82.304,82.40803
49.2,54.389739256174565,48.6,49.87000000000003,49.76347
54.0,54.77009935954649,53.7,53.648,54.082794
53.4,56.041158951911505,54.8,54.134000000000015,52.899788
69.8,72.36106518900564,68.5,70.33399999999999,69.189415
74.2,75.0204913484574,73.9,74.27300000000002,74.39956
78.8,79.44964006361833,78.9,79.07400000000001,78.77297
78.0,79.90586585520713,78.3,78.47400000000002,78.04588
74.6,73.48477637246118,74.9,74.72499999999998,74.62098
83.0,78.91187222475405,77.3,81.775,80.95807
77.7,73.646197199244,76.7,75.78699999999992,75.57302
52.5,56.779574105442876,58.0,55.40700000000002,56.41465
63.3,63.60203510970876,62.9,63.42999999999996,63.47073
61.8,64.03893414191465,61.6,61.897000000000006,62.41672
81.3,79.94418615117478,82.0,81.97200000000007,82.11364
55.3,65.96453753002127,57.6,55.73600000000001,54.62598
69.1,69.19721636182462,66.6,67.48799999999997,69.40777
71.9,72.75095668110052,71.7,72.42699999999999,71.83482
63.2,61.37654205620769,63.5,63.59499999999997,63.541645
79.6,78.46083909550558,79.8,79.30299999999994,79.93935
54.1,56.80049528600793,54.8,53.65800000000004,54.211105
79.5,77.38548230784009,79.7,79.70299999999999,79.966606
72.6,69.76682523225873,74.3,71.25099999999996,72.11369
71.0,77.18255569351382,72.1,74.16899999999997,73.30499
82.1,78.93386006621493,84.0,82.445,82.19722
64.7,69.77727041137975,64.7,64.94299999999997,64.94307
53.3,57.21613583462764,54.0,53.409,54.60353
73.0,69.00167069018963,69.1,69.602,68.41872
54.9,61.04117606082437,54.7,55.016999999999946,54.897274
62.6,64.25770846193457,62.8,63.74500000000003,62.001106
74.8,73.57090797246693,74.7,74.97299999999993,74.837425
75.8,76.34049769435998,75.5,75.19900000000001,75.77074
67.4,62.54775523739881,67.7,67.146,68.684494
72.8,75.21549980401186,72.3,73.322,73.27782
75.4,75.95767152739543,75.2,74.75499999999994,75.161835
78.7,75.31377504274462,78.7,78.70700000000001,78.65098
69.2,70.09766550221754,69.0,70.01799999999994,69.41519
67.2,70.99873453112069,64.9,66.98299999999998,66.661156
45.4,56.53648109354401,50.0,49.35100000000001,52.27628
65.9,67.77708544847398,66.4,66.56799999999997,65.68435
47.7,58.93399128456349,48.1,47.74300000000001,47.680744
81.9,82.0295077590174,82.5,81.77700000000002,82.36567
85.0,77.74400413480906,81.1,81.64000000000001,81.95186
73.4,69.41652769754693,74.5,73.38500000000003,72.70045
79.9,80.31773157924368,79.5,79.92499999999991,79.75417
57.3,61.151658152694246,58.8,58.14600000000002,57.37852
53.2,61.33034887680464,53.6,53.65300000000001,52.278378
73.6,75.3115583839252,75.5,73.90499999999994,73.60785
59.3,61.73796180716815,58.4,58.03699999999998,59.11839
72.9,77.21515081952114,75.4,74.286,74.004684
78.5,77.81862967989885,78.7,78.852,78.95376
75.4,75.40657159774669,75.1,75.74199999999993,76.25216
65.4,64.28610466754756,63.5,64.61899999999997,64.19835
72.5,71.27990348600551,72.4,72.80599999999993,72.79039
69.0,62.18206836282636,64.0,62.81999999999994,61.937656
65.2,62.76454033344355,63.1,63.69399999999998,64.29963
72.1,70.60835548889943,72.2,71.77799999999999,71.66935
68.4,68.75786307917173,68.0,67.99800000000003,67.37615
76.7,77.24352739732815,76.4,78.641,78.35611
73.1,69.8536164069259,73.3,73.09800000000001,72.82273
61.8,68.58497336675694,64.2,62.31599999999997,59.34127
73.4,70.19493020945866,72.8,72.827,72.74839
81.9,80.72370995042081,81.8,82.66299999999997,82.684456
74.1,74.4774822368611,74.2,73.99499999999998,73.71309
79.6,73.90426517131918,79.4,78.37299999999996,78.56621
73.0,70.79112046506185,71.7,72.29899999999998,73.31717
73.2,66.0830062020169,72.8,73.01600000000006,73.00869
79.4,75.82286109265709,79.8,79.40200000000006,79.21299
55.3,66.23113542879402,56.7,57.40500000000003,57.771523
75.4,77.45292087028693,75.2,75.22099999999995,74.30169
58.5,62.39042876124843,57.2,56.130999999999965,55.10961
68.8,69.29398915990423,69.7,68.83700000000003,67.30844
71.5,68.61052817648527,71.8,71.85900000000004,72.39192
72.8,72.28762112042196,72.7,72.95699999999997,72.65159
59.7,65.39987769820225,59.5,60.304,59.381344
62.9,64.62507963483858,63.7,62.43499999999995,62.593987
67.8,65.23095434159049,67.3,67.658,68.16038
49.8,59.88730477113404,52.1,52.88699999999998,51.667732
75.2,73.88885643229952,75.4,75.65599999999993,75.790535
79.5,76.40031082520761,80.0,82.04300000000005,80.75507
57.9,63.63984414792407,58.4,57.26299999999999,56.602657
74.5,70.39321368635534,73.9,74.01199999999999,74.26693
79.1,79.65265741965324,79.9,79.93100000000005,79.753624
51.2,52.99126886373976,53.0,52.727000000000004,53.645016
56.7,62.21220944242258,59.4,57.633999999999986,57.54535
73.1,75.19843768911377,73.3,73.50300000000004,73.55465
56.0,51.95378830056373,51.6,52.484000000000016,51.052902
69.9,70.56992252421242,75.0,70.86500000000002,72.02461
71.9,68.62862272912612,73.0,71.86300000000003,72.43096
73.5,70.69430694662708,74.0,73.19000000000001,72.95883
74.2,72.93069305750791,74.9,74.28699999999999,74.02561
78.7,79.46787639398792,81.0,80.10699999999999,79.113144
75.0,71.20853089592376,75.0,74.50099999999999,74.668236
73.6,73.01367463574381,73.6,73.562,73.42539
71.4,69.42969318287442,71.8,71.96700000000001,71.40608
75.0,71.62366591224587,75.4,74.708,74.860085
74.4,70.65316396455889,74.2,74.10599999999995,74.62712
77.3,74.29221874022171,77.4,76.74599999999992,76.452965
79.8,78.646724150957,82.0,80.26399999999997,81.160545
73.7,71.69173609397671,74.0,73.59299999999996,74.271904
53.0,55.99070044455007,49.8,51.36200000000001,50.639977
47.7,58.227063340611984,48.2,48.48200000000001,47.95262
81.0,77.86942043415436,85.0,82.46800000000002,82.42662
44.3,56.68958976542466,47.1,46.274000000000015,45.818085
81.7,76.82231235069106,82.8,82.67399999999999,83.33293
82.7,77.30566274784498,82.9,82.47999999999996,81.83104
44.6,44.94322488066699,44.5,44.759000000000015,44.30488
76.6,75.44071910581299,76.3,76.37200000000001,76.00034
45.9,48.78777270999106,50.0,48.47100000000001,49.721584
89.0,77.49469992673947,81.0,83.177,83.80604
63.0,64.52252257526902,68.0,62.01799999999997,63.903805
88.0,79.05754647966207,86.0,83.95399999999998,83.619156
68.2,72.08266672560693,67.5,68.532,68.97304
69.7,70.21419237165821,69.6,70.608,72.43272
78.9,76.51236227285254,76.4,78.85200000000003,79.76712
79.3,78.94693926538494,79.4,79.42899999999995,81.39093
63.1,65.10833242838409,65.7,63.45100000000003,64.299034
78.0,76.69474974828182,72.1,73.74299999999998,72.11829
79.3,76.74531015214674,82.0,82.07099999999998,80.86749
75.2,76.23011599412642,75.5,75.14,75.01535
59.8,57.32225607611031,58.4,60.03000000000006,62.18094
74.7,75.3244505520226,74.5,74.48699999999995,74.72464
72.1,70.57420366098064,72.2,72.10700000000001,72.367935
65.5,72.47518236426582,64.5,66.79100000000004,65.54236
76.2,72.67726734009202,75.5,76.06999999999998,76.049065
57.6,64.07111387567572,58.4,57.14099999999998,56.717003
56.7,61.257203911779456,52.0,55.63900000000002,56.86002
59.3,62.093116075853885,59.2,60.10199999999999,57.21298
72.7,68.30530825035554,72.8,72.15600000000005,71.901566
59.5,60.2513741944161,59.8,60.81400000000005,60.864838
81.8,80.79474233751857,82.1,82.06500000000005,82.12918
71.8,72.08798824332705,71.4,72.24299999999998,71.85138
75.6,75.91557389047586,75.5,75.12399999999998,74.44373
79.8,78.68474007474923,82.0,82.49199999999999,83.35888
82.8,83.15687851357796,82.5,83.32199999999999,83.0296
57.6,61.62085802868385,58.4,57.65600000000001,57.716095
79.7,75.13444216219528,78.9,79.99599999999998,79.622314
88.0,78.13994806339727,80.0,83.28000000000003,82.82395
81.0,79.56793759216717,86.0,83.795,82.89022
69.9,72.39301311932273,71.0,70.306,70.574326
74.7,75.23674285807631,74.4,75.149,74.6844
65.0,60.865166319754856,64.7,64.26700000000001,65.021645
66.1,66.69815213387955,62.8,64.709,66.22553
75.5,66.56013105414058,71.8,72.65299999999999,73.78919
75.5,77.09208579234799,76.1,75.35800000000002,74.970406
83.0,75.44589524023402,87.0,83.704,83.00912
81.3,80.9381647152025,81.6,81.392,81.18653
65.6,63.211980348247884,64.5,65.06900000000002,64.03381
81.4,76.26334186438281,81.5,84.51499999999999,83.0196
73.8,75.37292713311348,73.7,73.81999999999995,74.05636
69.7,68.97008212392468,69.6,70.65099999999998,73.06132
61.7,69.18186740903994,61.6,63.491000000000014,61.318954
77.7,78.2396252786415,78.3,78.31600000000007,79.07331
75.3,75.71802433063293,75.4,75.11199999999998,75.17999
72.9,73.80937681304496,73.0,72.95000000000005,72.90443
73.2,69.00910546858098,73.2,72.98500000000001,72.22894
73.6,73.23070651448637,72.9,73.55499999999994,73.31249
74.4,73.8640133864483,75.0,74.03399999999995,73.43601
74.8,70.57560750571145,68.3,73.29100000000001,73.559074
64.6,64.22779665385822,64.4,64.21600000000001,64.10581
75.0,69.95056077056068,66.9,68.99099999999999,68.51071
57.1,62.62208709030978,57.6,58.565000000000026,56.628914
73.0,68.172909542162,78.0,72.04999999999997,72.62245
59.0,62.23265141155669,57.9,58.78600000000006,58.44181
65.8,61.40539767507374,64.7,64.846,64.73311
69.6,73.77881592461782,72.3,70.44899999999996,70.04096
77.2,74.39635388504253,77.0,76.43599999999998,76.41811
62.9,66.29488560872316,69.0,63.75799999999997,63.17382
54.0,53.85350086858329,54.8,54.393,54.982033
63.0,61.11839594262136,63.5,63.03399999999998,63.811752
71.1,68.77403310794126,71.4,71.78799999999997,70.74121
78.7,75.29259907312047,77.8,78.29799999999996,79.26196
73.0,72.49730864607113,71.2,72.88299999999995,72.10435
75.8,74.63818034277571,75.6,75.90800000000004,76.121765
66.5,66.07450686567951,67.1,65.925,67.07105
75.0,74.8699933307333,75.3,74.93400000000003,75.06865
51.0,61.96498062461482,49.6,52.491000000000014,52.61096
78.4,78.64107107920239,78.1,78.90900000000005,79.31917
79.7,78.44179371937179,79.8,80.12699999999994,79.93254
64.6,71.05459029018259,65.0,65.084,65.29722
55.4,59.78032488638219,58.1,55.387000000000015,55.493366
67.8,70.96930270392477,67.7,68.28899999999997,67.9779
62.1,63.28969093220974,62.6,62.98400000000003,64.4982
46.5,56.31233969811716,46.8,48.24000000000001,46.641163
58.6,63.17695197969622,58.9,58.97999999999998,60.111797
53.7,55.556057032006805,56.0,54.641000000000005,55.212452
64.0,59.7638447912889,64.4,63.628000000000014,64.10065
69.2,73.30943287657527,72.3,70.517,69.715935
75.6,72.62342218243656,75.4,75.00299999999993,73.73463
48.8,56.931405027191474,58.0,49.85099999999999,50.009415
79.9,77.88013435472149,82.0,80.80000000000005,81.63408
72.7,70.5820186096297,71.7,72.24699999999997,72.854996
56.9,60.999807255514696,55.6,55.57100000000004,56.777
77.5,74.71793299878415,76.8,76.97600000000004,77.18184
62.6,63.47543491296055,65.0,63.497999999999976,62.672356
74.4,75.21557694920936,73.8,74.35699999999996,74.572205
76.2,75.91119209407616,74.3,75.82299999999995,75.89248
71.9,71.60633434987128,72.2,72.67799999999997,73.38118
55.5,64.39308761377515,54.3,54.88300000000006,52.75268
