,Actual,RFR_Predicted,DTA_Predicted,GBR_Predict
97,4239.89265,4464.472714619045,4243.59005,5818.255360293717
98,4830.63,6996.498296571434,4687.797,5674.350707772196
99,11879.10405,12712.71811347617,11512.405,13207.177412035999
100,21472.4788,20790.73971685715,19199.944,21429.241291829978
101,2250.8352,2588.1149688476153,1906.35825,3439.756916513436
102,17043.3414,18089.853910523834,16577.7795,18485.27750185442
103,11520.09985,21426.140960904773,30284.64294,12103.32903962696
104,5757.41345,8378.301057190476,5438.7491,7477.807587508652
105,13012.20865,15325.293497380922,28923.13692,14726.04322572211
106,3766.8838,6239.305812333336,3277.161,5994.559882672948
107,1629.8335,2196.1326148809567,2138.0707,3622.903198316088
108,7151.092,7399.954638809534,15828.82173,7920.785312755991
109,33732.6867,34191.40720195233,34166.273,34897.98557559272
110,14590.63205,15175.721594523831,14007.222,16070.464090896061
111,24180.9335,25030.590280380926,21978.6769,24050.851704507797
112,1880.487,6547.413809428577,2134.9015,2929.591513092026
113,34303.1672,35002.3576308571,36021.0112,34868.569753930446
114,21984.47061,5252.02973861904,3645.0894,4738.377079473874
115,6748.5912,6540.9606445238,7144.86265,8035.523293135049
116,2480.9791,5046.728467476183,2473.3341,4710.336737349358
117,2699.56835,3668.1890836190505,2523.1695,4452.699399832339
118,9788.8659,12036.942404333347,14478.33015,10314.409998120602
119,20296.86345,20028.47041642858,22331.5668,19455.796920906065
120,1977.815,4880.474448190466,1981.5819,3918.4343477907096
121,33475.81715,33565.21396380949,33907.548,35027.422118059374
122,9249.4952,9638.253481142847,8930.93455,10919.584332743261
123,9863.4718,11527.884392380956,10197.7722,12226.781645505596
124,2741.948,4905.887557700009,1909.52745,3676.889115484433
125,10600.5483,14820.776008904759,10141.1362,11879.448112851795
126,4260.744,6997.5506902857105,3591.48,5941.4425592851085
127,1837.2819,6344.680706190474,17878.90068,5189.410459010303
128,23045.56616,10536.643595761901,10797.3362,12332.580753723485
129,21880.82,21155.088216666674,19964.7463,23514.266375682604
130,3353.284,3470.5888098571477,3943.5954,4323.610859541968
131,12982.8747,13489.59077271427,13470.8044,14625.821174510422
132,17748.5062,20179.859682190483,17352.6803,19440.409410525215
133,4915.05985,8657.479261333328,18838.70366,6566.351385258584
