,Actual,LR_Predicted,RFR_Predicted
65,18001,17037.08,15613.90892555631
66,5132,5542.05,6003.414074233055
67,1637,1632.1,1935.6814792955383
68,3139,3029.73,3839.119344055125
69,828,663.17,1160.6997397235332
70,2160,868.06,-4396.588301567253
71,432,463.92,-532.9362494980032
72,6559,6322.44,7426.851333048511
73,1631,1715.94,2247.28112904952
74,8856,9072.9,9090.528784020848
75,561,565.05,134.3484822965611
76,434,469.46,45.29087034886561
77,2536,2172.04,2168.404615209929
78,4540,4341.95,4809.347456593317
79,641,706.85,-345.6401590825917
80,4640,4571.985,5144.513355135045
81,8321,7479.71,7833.912940926828
82,2952,3108.13,3613.4146292525056
83,906,822.77,737.2213945319581
84,2399,2166.21,3327.9517664379537
85,932,879.86,903.7583600121116
86,4666,4809.526666666667,4815.7643697965705
87,3032,2806.54,3789.2142156049013
88,489,541.89,-475.67385575836397
89,1786,1732.45,2320.3342950511787
90,1656,1792.32,2155.400386956676
91,4029,4928.0,5519.454324487951
92,1395,1482.46,1649.6638912790013
93,1694,1750.15,2173.330148910044
94,605,673.95,395.9780050788859
95,8916,9475.21,9385.572004740992
96,5147,4392.24,5066.922524853362
97,453,481.96,436.08191996352525
98,3360,3952.84,3843.557615758955
99,2753,2634.55,2986.6775063773507
100,18127,16768.44,15091.387861564375
101,4922,4538.16,4633.982685793497
102,6257,5519.96,6038.187712155364
103,683,709.71,-235.2436830525494
104,6230,5195.56,6149.584373064836
105,1763,1745.45,2494.273927055402
106,432,440.1,-960.2402089922298
107,9625,8693.51,7328.97541669518
108,2290,1774.14,2155.3937942913954
109,945,1949.1,-2874.194162240162
110,4136,4419.17,4819.4856519444165
111,8001,8241.99,8839.460215375351
112,1631,1603.47,1854.6865759416628
113,10763,11300.46,9313.194356562839
114,1656,1737.33,1989.300754491759
115,1725,1736.39,2375.842259454862
116,5055,6562.33,6862.7530964200205
117,1065,905.22,1016.8484934808748
118,3013,3052.47,3062.812841739861
119,2099,2173.48,1701.0011890990163
120,3547,3227.85,3593.1384921443164
121,7098,7212.63,7959.075402058642
122,8580,8143.91,9056.387564287137
123,2964,4810.82,2340.985066644378
124,435,468.43,-1268.7398046236394
125,5880,5398.82,5909.121539217024
126,1013,1051.7,1022.6319953564362
127,1052,1136.58,1451.6663398312821
128,1341,1577.71,1734.0568662396586
129,9282,8977.9,8569.253930984443
130,5544,5327.63,5719.606612508079
131,2462,2348.14,3121.4999033519434
132,5387,4280.6,4737.531110574998
133,2742,2462.27,3084.832378411207
134,458,492.5,870.4508376807235
135,5004,5038.65,5731.599248865068
136,8687,9103.25,9374.482484353011
137,10825,10046.18,7391.446024099429
138,4789,5868.76,6209.33559983023
139,1153,1138.05,1616.4392590013904
140,526,605.1466666666668,-147.08088765579896
141,1013,919.34,888.76079053786
142,1125,1078.87,1551.893861310352
143,683,772.48,-124.594293681419
144,759,825.27,936.99699264825
145,1752,1727.18,2089.427947883991
146,2958,3179.48,3840.7802044240393
147,914,893.52,1609.1179540904054
148,2239,3158.77,531.6001346577659
149,15110,14217.76,14809.441417401003
150,4514,5056.053333333333,5259.867289923596
151,1000,1161.69,369.4898122789473
152,9640,10525.14,10003.62235927743
153,1624,1653.0,2049.0844634980594
154,15065,15608.665,14648.056130114686
155,1678,1654.08,1793.047016730105
156,5034,4329.3,3475.2166933164863
157,1904,2168.48,2703.9435199885147
158,807,879.22,942.6622248695994
159,1552,1721.0,1894.4483106748676
160,9176,7628.33,7943.248158142954
161,2421,2540.23,3122.4550815619327
162,336,482.73,-1373.3266208608602
163,1267,1251.4,1847.8796566114388
164,6108,6036.52,6108.047101418259
165,18392,17623.23,15249.124475106024
166,4721,4868.37,4637.304708023703
167,8808,9094.76,9984.848674949419
168,666,656.0,1002.9895442268544
169,16261,15189.94,14599.976611507604
170,3090,2857.01,3381.722055551421
171,4928,5767.12,5868.616516583048
172,10528,12763.2,12845.062678734803
173,1619,1916.51,856.3954369686826
174,1181,1203.7,2008.5088700618921
175,9261,8136.33,7393.192960698002
176,8217,8364.15,6767.538376134073
177,3669,3526.44,4182.708589194043
178,893,1216.27,-2676.571765034926
179,6934,6496.37,7406.521448392721
180,571,594.22,176.81559431262303
181,2401,2395.93,2382.117600137774
182,1309,1288.64,1105.079545488135
183,2052,1936.89,2521.265146384261
184,965,946.13,1093.6224069493805
185,2578,1877.34,2621.252387231274
186,6495,6000.95,7772.453284068142
187,9157,9348.173333333334,9485.328547055247
188,435,476.23,-856.1104494638621
189,4672,4867.17,5323.519702742539
190,4103,4159.14,4732.702970302744
191,721,677.44,-1274.079253994836
192,3445,3418.53,3499.8274796561327
193,1651,1729.68,2074.4459842450724
194,961,1007.48,1278.6114308155084
195,10453,13602.97,21977.502821968927
196,6499,6740.210999999999,6250.111791625261
197,4966,6173.37,6010.364623282648
198,4688,4720.48,4904.76107485456
199,4557,4237.1,4603.954101938027
200,4182,3543.41,4382.59190035641
201,2093,2507.15,2289.149719860742
202,4788,4462.75,4825.777107099114
203,814,675.61,1075.6351968428971
204,3276,3116.36,4034.9276202161623
205,14889,14134.62,11067.867730385133
206,1786,2772.79,-1270.397072621291
207,6340,6462.18,6165.29374512012
208,4804,4245.95,5482.672203574768
209,507,543.88,-128.11442313717816
210,760,793.0,404.7164984341698
211,5385,4557.56,5009.472321653545
212,2318,1796.1,2326.8820858353456
213,11869,11218.99,10988.830030232502
214,975,965.63,1086.5819990568853
215,432,499.84,-327.0175920347674
216,2409,2302.93,2886.9260586850464
217,11861,11500.67,10143.304868139592
218,524,532.19,163.605027171041
219,972,866.27,872.2785518256505
220,17449,12351.22,11302.25599578276
221,421,496.37,-1230.9899062515624
222,828,790.35,719.6963133274439
223,2316,2415.78,1920.0248894631989
224,626,689.44,366.50038615772974
225,768,881.42,735.5739310474391
226,2757,2866.61,3531.0504877307885
227,1558,1702.57,1847.2632152572996
228,558,546.31,-778.7674249335896
229,7341,6750.73,7596.164866513022
230,768,827.43,685.987487428938
231,5082,5629.89,5811.209529034848
232,4764,5112.99,5635.063174038905
233,2691,2849.59,2579.6859827296557
234,4277,4541.33,4700.468132565604
235,1007,986.75,1538.2042074809215
236,1575,1501.59,1582.1289043572747
237,882,907.0,456.6656569934971
238,2530,2627.48,3155.219924423527
239,1842,1873.33,2369.453255848924
240,11011,11913.095,12226.550236231922
241,738,820.12,509.854520520767
242,8217,8304.31,8976.359263693568
243,1969,1997.26,2606.796139258034
244,2821,2654.45,3149.814807166
245,15922,14593.5,11293.622031082743
246,3997,4045.52,4258.368251562813
247,1889,1664.21,2147.7242772319396
248,461,426.27,427.4329541903917
249,3494,3269.27,4150.326552778579
250,5424,5381.23,6542.69719591967
251,5606,4806.25,6495.509309505358
252,5797,6001.83,5470.039441355536
253,928,869.37,802.5441433017322
254,1683,1619.73,1844.4537616906214
255,7844,8095.63,9754.934835550124
256,3454,2797.74,3261.7838303303924
257,521,564.16,-128.13259279246904
258,891,800.73,1213.8307317547624
259,9841,10525.34,10052.024969946564
260,1034,802.71,1514.2570204056624
261,10457,12299.85,12401.943042269528
262,3323,3978.82,3686.0167110831676
263,3357,3513.71,4325.831029974315
264,745,900.56,850.0689551517312
265,4668,4638.93,5037.4454306297575
266,586,503.78,496.73720024906925
267,5013,4509.66,4994.918599150648
268,1935,1878.0,2406.100144399585
269,1607,1688.97,2054.931219161461
270,5392,5519.53,5770.750361064816
271,12870,10702.81,10090.151633427658
272,891,873.88,1488.0397589570262
273,10134,10423.4,6979.20182594453
274,5831,5524.03,6310.685938094925
275,12584,12542.28,9277.545392482263
276,2359,2572.47,2300.2617244407807
277,2338,2446.42,3194.2944343403656
278,1305,1351.22,1180.264365298026
279,776,710.27,530.2303399374
280,698,682.39,-106.16027360858106
281,1785,1891.36,2660.6451896066887
282,2362,2562.62,3494.5792044647396
283,705,651.76,961.1888190096533
284,1175,1212.05,875.4845511780186
285,14362,17098.15,16562.075561141166
286,477,491.42,-932.9277888895904
287,5000,4949.01,5580.911185018826
288,6470,7755.3,8497.2418029066
289,873,899.1,1597.9943158661622
290,3699,3962.22,4629.551075861118
291,7727,8008.86,7294.143288480926
292,683,716.05,6.798032174096534
293,941,874.49,1493.7307284083058
294,2852,2893.65,3450.7272689439174
295,645,694.03,666.8888477868022
296,1062,930.53,1653.3909053899738
297,1066,1665.28,-3815.79952013791
298,2479,2266.02,3437.1405586499395
299,4072,4100.873333333333,4376.113572301378
300,9273,8066.96,8544.56103707174
301,2726,2801.91,2902.6837335034024
302,1779,1798.14,2595.9302477666124
303,3323,3078.24,3853.374549923288
304,1240,1238.37,1332.2646610005604
305,3991,3774.89,4673.550503809746
306,1116,1033.13,1598.285085947513
307,4347,4597.36,4717.77730830735
308,1234,1307.55,948.0066921487114
309,2608,1773.53,2510.419253491202
310,4766,4897.32,5332.93427853484
311,1158,1964.94,-1458.1290168262349
312,1148,1181.89,1865.9060991534325
313,898,848.66,3.8195869324604246
314,8498,8326.41,9385.50084318686
315,1007,1038.12,1447.8331488310105
316,12551,12103.72,10620.797392106559
317,2329,2832.29,3103.2288475969854
318,579,665.86,-69.43353353102839
319,12369,11984.555,12793.979481893757
320,407,475.07,-687.3114743816477
321,3945,4654.67,5092.552208095393
322,1859,2299.13,1286.7074293283526
323,842,953.96,1270.3934992813247
324,6843,7377.29,6616.011164416455
325,12021,15285.66,14376.296333064476
326,8025,8853.77,8238.550537650577
327,960,889.64,1218.8241410645423
328,540,535.34,-1156.9029660891028
329,1840,1791.73,2372.049787189892
330,1001,1012.16,1757.6275132333967
331,9116,9770.86,8431.027624989441
332,794,850.89,1140.831492305857
333,984,910.46,1068.063698090219
334,618,602.94,-1002.2850741316861
335,4900,4993.29,5596.14499259864
336,1208,1231.99,1596.6412738898243
337,887,942.04,1244.6683218322132
338,3419,3452.95,4184.257310849315
339,605,633.3,522.9584716718473
340,7677,7451.57,6630.023412901947
341,10238,10547.12,10819.290457373761
342,540,537.03,-1160.3098904852477
343,2862,3034.77,3702.2208558072252
344,1040,1891.74,-1167.9513148158094
345,558,521.93,-714.148623876602
346,16479,14180.0425,14360.575362657672
347,5628,5688.12,6604.706091670003
348,3179,7734.81,6085.57074611187
349,7744,7841.01,8844.019809091053
350,1262,3418.91,1069.0240942199516
351,837,851.83,1425.355700264147
352,4719,6708.66,8197.704878602814
353,827,852.7,812.1091317791661
354,2443,2556.65,3421.2456321122554
355,3275,4113.7,4324.46122503918
356,1790,1767.28,2197.422133050622
357,3669,3866.585833333333,4617.344532434734
358,2859,3026.38,3833.9194124196524
359,2155,2099.9,2325.3374728740914
360,1035,889.95,706.6565776617622
361,526,536.71,-300.49768835403665
362,5489,4927.9,5462.818377524578
363,4466,4497.86,5135.768297953311
364,858,808.67,1164.743467979898
365,2829,2919.69,3944.021521988596
366,6773,6203.67,6236.840130627128
367,984,1000.56,1380.1355063928577
368,796,839.49,1034.1677704196209
369,1314,990.07,1762.0327918735338
370,442,482.41,264.1369901055441
371,645,681.62,770.225289449455
372,758,799.48,1054.1162676699478
373,17534,16601.46,17194.518074034517
374,863,871.28,1373.1586179614605
375,9580,11255.6,11815.431746466424
376,1667,1831.5,2003.9244736510364
377,4535,4643.66,5265.4930101200425
378,11594,12769.94,17889.692852473723
379,10319,10723.05,10181.929407538271
380,9339,9385.78,8385.096569818175
381,1715,1739.96,2091.062087712468
382,2507,2822.12,3252.230009669015
383,4293,2844.07,3763.273623570728
384,1310,1363.56,1144.3269016273225
385,7321,7666.94,8594.634055640749
386,6350,5778.29,6548.773353088066
387,1233,1162.15,1911.0479533019939
388,1177,1074.4,1760.3624743850096
389,5525,5401.42,5686.938433773283
390,5538,5523.22,6604.811136578089
391,7037,6450.14,6211.420411353661
392,3901,9053.883333333333,4529.550204607703
393,1284,1451.205,1636.2725186467428
394,3421,2627.06,3121.2075332478835
395,561,629.86,66.88735272794156
396,882,891.61,446.7187698320304
397,5801,5947.26,6658.044552519742
398,2337,2340.03,2535.4944275277085
399,10712,11498.73,10778.908607287663
400,7130,6173.5041666666675,7633.925902746293
401,10211,9874.1,7827.249875583229
402,1846,1923.39,2359.609633485227
403,17582,16200.45,15428.79215707931
404,1644,1834.48,1110.9168041933672
405,2797,2893.26,3471.540431096164
406,4594,5136.68,5671.543077183711
407,6108,5951.03,5951.65015108725
408,2729,2577.38,2674.156984441761
409,5731,5204.04,5908.721713436003
410,1151,1301.58,284.9103187272872
411,716,746.38,965.657753316842
412,608,630.31,-340.5352970360045
413,2372,2506.15,3254.558800336039
414,5966,5716.35,6793.664166426633
415,4096,3790.63,3995.661845059486
416,599,616.97,222.13378748368086
417,1063,886.1,157.49223161453847
418,8011,7675.39,6768.4726153903
419,1813,1739.75,2287.132775828154
420,5460,4989.36,5078.650617045791
421,5621,5266.36,5838.536910823268
422,536,488.47,4.46620942768277
423,2536,2571.01,3068.932914067922
424,505,609.66,-161.7986762782175
425,18107,14958.31,12549.510725267106
426,645,634.88,501.53744853238413
427,5767,5570.79,6233.725344186619
428,505,569.61,-833.2501045272502
429,10439,10516.78,8409.399310143657
430,6563,6807.68,6540.819135623169
431,1033,923.76,1135.2945337987921
432,727,687.25,140.00394191611622
433,12787,11021.51,10629.821218050636
434,13355,13418.25,10783.916666564437
435,707,617.17,-82.82480106238881
436,694,742.62,1207.9993900915292
437,4912,5132.17,5444.882070209993
438,2855,2858.9,3756.779261380062
439,11954,13261.4,14302.051132128063
440,1838,1804.09,2289.855685636368
441,3484,3566.93,4351.200784552717
442,1981,2115.22,1830.4734313240256
443,706,821.49,725.2625605068101
444,15662,13952.71,12128.122386643221
445,7522,6759.93,6246.940964770827
446,1596,1740.3,2481.1604778695432
447,12342,11168.53,9554.066711378817
448,2823,2789.43,3610.4053971024696
449,3800,4844.68,4938.321774760578
450,2633,2424.8,2973.148576152628
451,8928,9712.54,8885.586808236696
452,2634,4035.21,998.405021961893
453,1719,1773.5,1932.6551056532671
454,4543,4518.0,4847.168459534877
455,15485,13642.378333333334,13887.408172736219
456,712,523.55,108.19188131624196
457,10312,12073.14,12194.263911560462
458,2075,1899.85,1071.0043078480785
459,1415,1421.14,1237.7281098778708
460,1200,995.56,1923.3244025457184
461,12766,15952.73,15246.900248260901
462,914,984.96,1694.6294288977347
463,5236,5380.41,5824.857807568051
464,3853,4244.6,3478.578012238707
465,1569,1547.98,1878.975604094051
466,3880,4503.47,5150.359153471347
467,4044,4280.3,4713.525025824201
468,839,937.54,1301.9235911385222
469,1986,2310.75,1943.609964196545
470,574,549.73,-927.4760695399264
471,14022,11982.65,11516.174689977535
472,1746,1680.42,1834.8767155917985
473,6271,5835.36,6073.066682530499
474,1723,1697.96,2143.9970800224
475,13038,14381.1,13862.997276250097
476,7486,7194.71,7943.218024253065
477,2017,3550.6,795.5411688217218
478,4743,5542.48,6803.684935020794
479,18493,16151.14,14914.011151094002
480,2757,2667.19,2985.925654546828
481,3879,3968.74,4421.971838114508
482,828,783.1,779.1309393288957
483,7380,7717.91,7633.084979466755
484,11313,13959.76,13438.860508489355
485,887,978.17,1406.8232486652141
486,988,950.6,1440.6121917949372
487,13427,11912.17,11826.205286325981
488,2820,2792.84,3729.6476009662783
489,956,973.22,1205.0109689260307
490,1011,871.29,1112.8639324513824
491,1624,1489.89,1434.4880122995169
492,452,469.72,575.4496263218102
493,8442,12483.2,14344.411213865778
494,4452,4348.22,4868.563170333129
495,544,531.25,-129.42996999852494
496,1612,1850.36,2259.288573360512
497,942,830.53,866.2985829334866
498,911,862.38,625.0719319089885
499,3489,3475.62,3768.936186144221
500,3062,3184.115,2636.161579438612
501,712,820.79,1479.7653652608483
502,1323,1163.0016666666668,581.6886459400812
503,947,956.91,1469.5136493891814
504,8789,9263.72,9546.41568656529
505,702,870.88,730.5053256484725
506,3026,3026.67,3743.3805435631234
507,2353,2473.31,3139.6362361750107
508,639,774.59,570.5202374840655
509,421,511.51,-1844.973585280085
510,723,733.09,800.2893225920488
511,1698,1513.41,2242.384519552012
512,4503,4307.22,4864.828001849364
513,2669,3307.77,2884.691049048229
514,1080,1029.11,1113.6016696315519
515,4218,4650.34,5130.817666848052
516,737,743.34,502.9707415411631
517,5515,5371.41,5571.536248039968
518,14952,13028.913333333336,9377.130606094248
519,9817,8730.61,9272.55541990947
520,612,572.13,-154.50797370715554
521,616,691.16,596.1553683768816
522,6451,5981.89,7181.062536535744
523,3256,3267.45,3824.3200712934904
524,3292,3504.91,4024.4305647516258
525,568,603.61,577.4459913287401
526,810,655.78,169.4573440931763
527,753,800.32,689.1957871136847
528,13761,12299.06,12487.43103240627
529,778,825.37,71.66097154725549
530,2739,2825.11,3019.5458479047475
531,706,842.21,992.4407143158769
532,12720,15596.55,14817.319769401109
533,581,730.9466666666666,-772.0557797231049
534,758,744.13,949.4567330302925
535,631,634.01,-188.01691185498748
536,8873,9286.4,7843.143524548728
537,5174,5167.6,5652.616291950122
538,829,903.2,1247.5539067859418
539,14844,14170.92,10866.87504541876
540,5469,5269.78,5295.005002094717
541,10428,10775.96,10058.019965529274
542,1624,1619.75,1957.3871115762367
543,772,798.18,1124.235857594258
544,835,1572.12,-2428.513139737318
545,858,841.52,-62.997794888412955
546,802,746.5,378.1636796087373
547,1079,1032.31,1693.950385623094
548,743,674.8,120.29140554609558
549,18279,16635.0,13456.706289120686
550,829,862.87,1136.3298947232815
551,10203,10721.83,9123.466761860685
552,4036,3894.73,3651.89295448164
553,685,846.66,437.39033255288996
554,6909,6439.79,7374.577008723391
555,14119,13756.973333333335,14161.57202956981
556,611,644.73,-720.4920614052135
557,4277,5531.52,3327.5098988892373
558,5664,5150.15,5358.457494402363
559,4766,5030.81,5889.627776214635
560,708,761.75,1109.9210000206926
561,2922,2700.84,3585.33767681904
562,8124,6416.09,6761.115059670738
563,3589,4409.78,3074.3026429523206
564,3310,3354.05,4057.04470574969
565,1818,1738.14,2119.1494163628395
566,5866,5390.776666666667,5698.597638838626
567,1644,1698.14,2230.7779634671133
568,680,635.28,697.3040806114996
569,608,641.1,407.50386150266513
570,4415,4632.78,5368.262818646954
571,6115,4472.13,6773.998974986693
572,1775,1882.08,2252.4232660476255
573,1974,1918.48,2391.400689245724
574,2168,2165.1,2794.1963252532037
575,3974,4266.1,4787.049892178438
576,575,605.16,960.9763156212553
577,5817,5601.63,6351.971000963301
578,1066,1114.83,1668.0135913931363
579,12554,12798.36,13086.421354365119
580,961,992.42,1238.5662830072679
581,971,979.88,971.3842817988052
582,15814,15436.84,14250.622550802074
583,3569,3514.71,3630.615323454025
584,6787,6502.69,6240.465213261115
585,8794,10006.83,10411.801746314446
586,1407,1536.72,1836.9313393936764
587,1117,914.61,657.4604755362625
588,2252,2257.48,1546.2400874194373
589,1654,1480.13,1493.83450341887
590,2438,2780.72,1746.8312914753014
591,761,887.85,1449.9882460504218
592,8020,9305.41,9587.287352089621
593,2250,1953.09,2701.1748187351027
594,3570,2953.08,3794.155415738556
595,4413,4277.75,4586.999475187291
596,905,962.4,1502.2650944559782
597,1754,1750.57,2414.9913844356342
598,3952,4207.87,3567.1008986094957
599,3790,3772.56,4089.0760745251314
600,2542,2467.85,2989.4462116450277
601,2376,2132.2,2014.1813944468863
602,10144,8207.05,7767.0767999812415
603,4480,4397.05,4589.557197986316
604,1087,1575.33,-1855.2169591001848
605,3427,3644.9523333333327,4057.65244757887
606,6533,6065.02,6124.371928328081
607,3806,3613.62,4603.354693998742
608,10116,10288.31,10014.69962635438
609,4314,3922.68,3632.2054024600566
610,3481,3349.4,3964.7979394287518
611,4497,4274.61,4635.108526174047
612,7421,11995.0,10874.326800856932
613,4914,4943.36,5599.651929980287
614,2203,2081.33,2711.5744269419124
615,1759,1710.29,2335.208165496035
616,487,547.13,667.266767416284
617,648,616.6,-206.06496326723664
618,10920,11598.79,10164.82854076078
619,477,514.92,-299.82010959091986
620,1231,1169.105,1101.1963602386127
621,4458,4392.02,4679.600269949199
622,3104,3168.19,2575.1215199110293
623,5723,7361.84,8069.24232571411
624,11654,11254.79,8084.0818656869205
625,9784,9926.99,8607.65500289461
626,4788,4677.6775,5597.49159344149
627,1020,1150.73,304.93398589375556
628,625,640.03,457.60666616186336
629,1580,1591.49,1953.1671756247556
630,5171,4975.78,5502.140304219736
631,2019,1915.05,2613.34785885893
632,740,817.91,1048.7789720607752
633,636,706.24,883.9588063115152
634,11971,12842.35,12102.997054721982
635,13853,15628.47,11818.036520636393
636,6607,7038.59,7553.424747391417
637,586,632.79,189.24308428520817
638,921,813.625,221.15344815135086
639,2182,2215.07,2944.890632849587
640,3335,3336.659166666667,3954.0676621495413
641,11238,14491.67,16576.5591404801
642,3419,3833.46,4372.515201182443
643,925,827.77,1210.7250997817237
644,891,909.9933333333335,1472.3938605494973
645,1874,1833.96,2432.6727674571557
646,1923,2131.06,1923.5656538378535
647,1214,1375.58,793.737919550585
648,1015,818.72,728.8472830429068
649,1100,1146.97,521.165043554875
650,580,581.41,211.03786057542675
651,12821,13639.71,11214.015309993889
652,713,738.04,1202.993797136026
653,4029,3258.5,4006.001774301977
654,3449,3900.47,4445.755554883954
655,17778,15057.09,15069.948354425209
656,5807,5130.15,5894.467148187592
657,3690,3169.33,4204.881914215834
658,3145,3694.45,4339.621652840971
659,1016,949.6,701.7496985735615
660,655,665.64,868.2774308293015
661,3431,3294.75,3802.6011348214674
662,11136,11053.55,9428.85266342229
663,6743,6200.22,6833.075033304508
664,1602,1475.3,1211.7427531889234
665,12845,14410.59,13917.222626177683
666,5408,5700.23,6411.071497996446
667,1389,1440.99,1310.1229358771325
668,1930,1981.15,2706.5205748355984
669,447,561.15,-844.3861488422299
670,11640,13480.1,10642.164421198137
671,898,862.45,1111.4548144218647
672,12840,13785.903333333335,10895.792334383452
673,4916,4341.09,4883.526942781668
674,673,686.3,-443.3321962022219
675,6279,6314.624,6053.410100954938
676,657,664.09,687.5518147032144
677,4313,4160.68,4585.832143464533
678,4918,4695.47,4225.178511443488
679,4543,4135.66,4834.121585634099
680,4622,4642.73,5508.985364722547
681,5773,7218.71,7875.154525656478
682,3707,3838.92,4079.713676317565
683,4229,3592.69,4691.451118909741
684,4390,4790.01,5358.758931301213
685,3101,2930.05,3510.274572273393
686,1103,1113.29,1640.8964897944588
687,1292,1391.82,1289.947165562974
688,11469,10606.86,8909.511418643564
689,8646,9400.01,8195.44223214178
690,10964,10468.26,10352.550525509308
691,2048,2182.57,2175.178938793393
692,857,827.12,-442.514960774306
693,7258,6529.81,6226.082298848536
694,13500,14057.24,13739.5707671004
695,788,757.65,1125.950404147984
696,740,664.16,958.2899078648106
697,975,976.16,1240.7320613175552
698,1237,1379.25,1267.914784720052
699,5902,5807.78,6659.602662180797
700,12951,10341.09,10570.137808755964
701,593,546.94,-884.921423998655
702,911,756.61,750.3335963228683
703,5233,5464.64,6403.943235318305
704,2401,1854.42,2542.3857631911887
705,6098,5517.44,5879.757699570008
706,8770,8941.615,9478.251343164338
707,911,1188.28,792.1605584207964
708,876,855.16,1290.355280146413
709,2142,1932.47,1380.0787446702257
710,1129,1098.81,1786.6699858905836
711,4077,4028.325,4668.552988733567
712,2012,1913.18,2456.482338722279
713,891,840.67,-442.1930740774915
714,7040,6487.26,7143.7172106145235
715,666,726.94,693.2557887404764
716,4197,4141.263333333333,4384.729797320527
717,478,470.09,397.69879325246893
718,3563,3495.14,2592.2779519981395
719,764,788.56,1075.7947556389108
720,5028,4728.02,5677.060937693763
721,2837,3228.06,3947.7314238639715
722,998,1047.15,1234.2267073219
723,1911,1925.4,2579.6901001521805
724,3122,2591.03,3052.0488350222663
725,2335,2328.84,1912.0339434292607
726,2876,3141.79,4100.128736114756
727,599,705.31,906.3596533819259
728,5728,5743.92,6618.629705270829
729,1013,947.11,927.9069263993588
730,13367,13721.876666666665,12889.596325433844
731,393,510.37,-1595.822618102904
732,803,726.58,376.9615440981597
733,868,877.54,1226.2201700914675
734,2344,2368.4,2211.2784301234797
735,7424,7934.33,8708.120189904133
736,3011,2849.3,2736.5928884734303
737,5975,5829.95,6696.169564106262
738,2822,2867.4,3673.4962708540947
739,789,870.03,983.8235847053893
740,462,526.58,807.3058236850134
741,968,975.47,1417.599678415867
742,4234,3487.08,4798.331154287881
743,6818,6558.7,6082.858753323751
744,807,898.47,692.6312327666742
745,1438,1498.07,1557.8003055661866
746,3785,3322.29,4239.612947704236
747,1229,1299.17,2069.6376625027265
748,16343,15823.6,11626.546446513617
749,673,689.2742857142858,877.9644167352271
750,1240,917.24,714.0585298864676
751,689,717.68,-42.655774941414165
752,7066,6082.61,7111.100831968651
753,1295,1139.94,2105.882565332596
754,7145,5414.11,5625.925175056324
755,2901,2916.02,3007.59819496432
756,15785,13523.371666666666,13644.619324712816
757,2694,2597.93,3320.900183744871
758,1621,2473.9,-1541.5161210166589
759,13702,13161.97,11676.93957383315
760,647,691.73,1104.0178642001797
761,2902,3016.31,3270.9458312246084
762,1295,1274.47,2019.3540150342487
763,394,498.89,-1488.8453538162048
764,1312,1076.28,1970.501287902088
765,2107,2042.76,1762.0981321439986
766,1600,1597.04,1878.2255514658586
767,742,787.86,-112.7105211010994
768,485,510.9,918.8356827974385
769,5306,4602.94,5722.211468935478
770,1101,1113.26,1865.1604514194441
771,3078,2911.34,3688.055945401779
772,776,773.04,423.9769834854542
773,13812,14306.7,14684.927553837153
774,472,498.82,762.7024836616647
775,3888,4418.58,4459.411190724102
776,641,538.39,-153.52227579005557
777,9405,8284.4,8166.050548879533
778,6670,6145.11,7062.932326444364
