,Actual,LR_Predicted,RFC_Predicted,XGB_Predict
6239,0,5,5,0
3875,0,6,6,0
4337,0,6,6,0
4675,0,6,7,0
2281,0,6,6,0
5951,0,6,6,0
1461,0,6,5,0
3788,0,6,5,0
914,0,6,6,0
3697,0,6,6,0
1334,0,7,7,0
6077,0,7,7,0
4181,1,5,5,1
5895,0,5,6,0
4400,0,6,6,0
3131,1,6,6,0
4103,0,5,5,0
6067,0,7,6,0
452,0,6,6,0
3021,0,7,6,0
147,0,5,5,0
2246,0,6,6,0
6359,0,6,7,0
3475,0,7,6,0
1606,0,6,6,0
6143,0,6,6,0
439,0,5,5,0
3096,1,6,6,0
5001,0,5,5,0
3100,0,6,6,0
4307,0,5,5,0
2638,0,5,5,0
171,0,5,5,0
748,0,6,6,0
4937,0,5,5,0
2529,1,6,6,0
4821,0,6,6,0
3925,0,6,6,0
4778,0,6,6,0
4476,0,6,6,0
4509,0,5,6,0
6440,0,5,5,1
664,0,6,6,0
1715,0,5,5,0
3287,0,5,5,0
2657,0,5,5,0
5372,0,6,6,1
1458,0,6,5,0
9,0,6,7,0
136,0,5,5,0
1009,0,5,6,0
6441,0,7,6,0
6123,0,5,6,0
4474,0,6,6,0
3918,1,5,6,1
5736,0,6,6,0
5383,0,7,7,0
5779,0,7,7,0
1799,0,7,6,0
5467,0,5,5,0
364,1,6,6,1
861,0,6,7,0
616,0,6,6,0
554,0,6,6,0
1945,1,5,6,0
4203,1,6,7,1
6184,0,6,6,0
5053,0,5,6,0
3953,0,6,5,0
5878,0,7,6,0
191,0,6,6,0
3763,0,6,6,0
4080,0,5,5,0
290,1,6,6,1
1868,0,6,6,0
3868,0,5,5,0
5902,0,5,5,0
3506,1,7,7,1
4907,0,5,5,0
733,0,5,6,0
272,0,6,6,0
2903,0,5,5,0
6333,0,6,5,0
1154,0,5,6,0
2766,0,7,7,0
2407,0,6,6,0
1661,0,6,6,0
2494,0,5,5,0
4091,0,6,5,0
5417,0,5,6,0
3527,0,6,5,0
387,0,5,5,0
2327,0,5,5,0
1820,0,6,5,0
5343,1,7,7,1
3774,1,6,6,1
1797,0,5,6,0
152,0,6,6,0
429,0,5,5,0
964,0,5,6,0
4634,1,7,6,0
816,0,6,6,0
140,0,5,5,0
3552,0,6,6,0
3635,0,6,6,0
2843,0,7,7,0
1111,1,5,5,0
653,0,5,6,0
2825,1,6,6,1
3657,0,6,6,0
3250,0,6,6,0
2289,0,5,5,0
3801,0,6,6,0
1959,0,6,6,0
2222,0,6,6,0
4113,1,5,6,1
5735,0,5,5,1
1716,0,6,5,0
5794,1,6,6,0
5102,1,6,7,1
2885,1,7,6,0
4032,0,5,5,0
3618,0,6,6,0
3073,0,7,7,0
493,0,6,5,0
3976,0,5,5,0
309,0,6,6,0
3323,0,6,6,0
5716,0,5,5,0
2220,0,7,6,0
3777,0,5,5,0
3807,0,6,5,0
1727,1,6,6,0
475,0,5,5,0
5898,0,6,6,0
5548,0,5,5,0
4092,0,6,6,0
126,0,6,7,0
5069,1,6,7,1
877,0,6,7,0
3928,0,5,5,0
6302,1,5,5,1
6133,0,5,6,0
2202,0,5,5,0
1923,0,6,6,0
6463,0,5,5,0
3861,0,6,6,0
4616,0,6,6,1
4566,0,6,5,0
5672,0,6,6,0
5241,0,5,6,0
1318,0,5,5,0
1684,0,6,6,0
3179,0,5,5,0
5559,0,6,5,0
4189,0,5,8,1
2408,0,5,5,0
4708,0,5,5,0
540,0,5,6,0
5610,1,6,6,1
2974,1,5,5,0
4180,1,5,6,1
835,0,6,7,0
2334,0,6,6,0
5088,1,5,6,0
2813,0,5,6,0
3961,0,6,6,1
2519,1,6,6,0
3965,0,6,5,0
750,0,6,7,0
46,0,6,6,0
680,0,5,5,0
6139,0,6,5,0
3449,1,6,5,0
1191,0,5,6,0
4052,0,5,5,1
490,0,6,5,0
1792,0,5,6,0
2476,0,6,6,0
2074,0,6,5,0
1559,0,5,5,0
2664,0,6,6,0
77,0,6,6,0
1156,1,6,6,1
4563,0,6,6,0
5864,0,6,6,0
4302,0,6,5,0
3140,0,6,6,0
3759,0,6,6,0
68,0,6,6,0
1303,0,6,6,0
4980,1,6,6,1
5009,1,5,5,1
6269,0,7,7,0
1506,0,5,4,0
2052,1,5,5,1
5369,0,6,7,1
187,0,5,5,0
233,0,6,5,0
4106,1,6,6,1
1650,1,6,6,0
3223,1,5,6,0
5371,0,6,5,0
2228,0,6,6,0
6355,1,6,6,1
5449,0,5,5,0
4124,1,6,6,1
6266,1,6,6,1
1443,0,5,5,0
6058,0,6,7,0
6161,1,6,6,0
2699,0,5,6,0
3075,0,6,6,0
4653,0,7,7,1
5231,0,5,6,0
1605,0,6,6,0
4369,1,5,5,0
3987,0,6,6,0
3333,0,6,6,0
3343,0,7,7,0
15,0,7,6,0
1381,0,6,6,0
1113,0,6,5,0
5953,0,6,6,0
4441,0,6,6,0
5648,0,5,6,0
3038,0,6,6,0
6113,0,5,5,0
3860,0,5,5,0
5233,1,5,5,1
6364,1,6,6,1
5755,0,5,5,0
6395,1,6,5,1
588,1,6,6,0
4043,0,6,6,0
1570,0,7,6,0
2286,0,6,6,0
806,1,5,5,0
2970,1,6,6,0
908,0,6,7,0
5450,1,5,5,1
4539,0,6,6,0
6089,0,6,5,0
3887,0,6,6,0
6156,0,6,6,0
5362,0,6,7,0
4175,0,6,7,0
5894,0,7,7,0
4918,0,6,6,0
6435,0,5,5,0
2435,1,7,6,1
4591,1,6,6,1
471,0,5,5,0
3724,0,5,5,0
2521,0,5,5,0
4273,1,6,6,0
6387,0,6,6,0
944,1,6,6,1
1652,0,5,5,0
3167,0,5,6,0
821,1,5,5,0
4871,1,6,6,1
909,0,7,7,0
4143,0,6,6,0
4707,0,6,7,0
5884,0,5,6,0
6169,0,6,6,0
4018,0,6,5,0
1964,1,6,6,1
579,0,5,5,0
1688,0,6,7,0
74,0,5,5,0
5152,0,5,5,0
1759,1,5,5,1
6262,1,6,6,1
5709,0,6,6,0
5251,0,6,6,0
1615,0,6,6,0
842,0,5,5,0
430,1,6,6,1
6392,0,6,6,0
3760,1,6,6,1
3525,0,6,6,0
2190,0,6,6,1
1131,0,5,5,0
1999,0,6,6,0
3571,0,5,5,0
1402,0,5,5,1
1024,1,6,6,1
1995,0,5,6,0
6326,0,6,6,0
2423,0,6,6,0
2257,0,6,5,0
3569,0,6,6,0
2931,1,7,7,0
3046,0,5,6,0
357,1,6,6,0
5629,0,6,6,0
67,0,6,6,0
2574,0,6,6,0
5224,0,5,5,0
3483,0,5,5,0
5605,0,6,7,0
1869,0,7,6,0
2170,1,6,7,1
5621,0,6,6,0
573,0,6,6,0
4107,0,5,5,0
2346,0,5,5,0
4098,0,6,5,1
2203,0,5,5,0
1690,0,5,6,0
512,0,5,6,0
4229,0,6,6,0
5651,0,7,7,0
1289,0,5,6,0
721,0,5,5,0
4525,1,6,6,0
3337,0,6,6,0
5007,0,5,6,0
1022,0,6,6,0
5976,0,6,6,0
5065,0,6,6,0
3264,1,6,8,1
5595,1,6,6,1
4530,1,6,6,0
1516,0,6,7,0
5861,0,6,5,0
2804,0,7,7,0
381,0,6,7,0
6164,0,6,6,0
5378,1,6,5,1
4042,0,5,6,0
6372,1,6,5,0
3197,0,5,6,0
3575,0,6,6,0
353,0,6,5,0
1073,0,6,7,0
3086,0,5,5,0
5489,0,6,6,0
3630,0,6,6,0
4282,0,6,5,0
520,0,6,7,0
3522,0,5,6,0
2950,1,5,5,1
3834,0,6,6,0
2940,0,6,6,0
184,0,6,6,0
4405,0,6,5,0
5986,0,5,6,0
3385,1,6,6,0
2217,0,5,5,0
4389,0,6,6,0
2514,0,6,5,0
4702,1,6,7,1
886,0,6,6,0
3886,0,6,5,0
431,0,6,7,0
4829,0,6,5,0
3484,0,6,6,0
3509,0,6,6,0
752,0,6,7,0
446,0,6,6,0
1612,1,6,5,1
5556,0,5,5,1
1836,0,7,6,0
812,0,5,5,0
2061,0,6,6,0
5660,0,6,7,0
5729,0,6,4,0
6155,0,6,6,0
3532,0,5,5,0
3779,0,5,5,0
2147,1,5,6,1
5163,0,7,7,0
3700,0,6,7,0
2596,0,6,6,0
4764,0,6,6,0
1721,0,6,6,0
758,0,6,6,0
2241,0,5,5,0
4527,1,6,5,1
2086,0,6,7,0
2631,0,6,6,0
1783,0,6,6,0
6399,1,6,6,0
6412,0,6,6,0
5200,1,6,6,0
4425,0,6,5,0
2874,0,6,6,0
735,0,6,7,0
6166,0,5,5,0
5686,0,5,5,0
3355,0,5,5,0
2135,0,6,6,0
2618,0,5,5,0
3904,1,6,6,0
542,0,7,7,0
1776,0,6,5,0
275,0,6,6,0
5398,0,5,5,0
1276,0,6,6,0
2473,0,6,6,0
2478,1,7,6,1
5811,0,5,6,0
2502,0,7,6,0
4835,0,6,6,1
1389,0,6,6,0
103,0,6,6,0
4914,1,5,5,0
1247,0,6,6,0
4877,0,6,5,0
4761,1,6,6,1
5392,0,7,7,0
4188,0,5,5,0
921,0,6,6,0
1631,0,6,6,0
4291,0,6,6,0
4156,1,6,6,1
4826,0,7,7,0
6211,0,6,6,0
2009,0,5,5,0
2567,1,6,6,1
4140,0,5,6,0
6424,0,6,6,0
625,0,6,6,0
1325,0,6,5,0
372,0,6,6,0
6003,0,6,6,0
1643,0,5,6,0
5227,0,5,6,0
980,0,6,6,0
501,1,5,5,1
2807,0,6,6,1
5020,1,7,6,0
4160,0,5,5,0
2200,0,6,6,0
915,0,7,6,1
177,0,6,5,0
5427,0,5,7,0
6337,0,6,6,1
6310,0,6,6,0
4421,0,5,6,0
1330,0,5,8,0
3061,0,6,6,0
5468,0,6,6,0
3739,0,5,5,0
5724,0,6,5,0
2944,1,5,6,1
106,0,6,5,0
1376,0,6,8,0
2138,0,6,5,0
5099,1,7,6,1
6099,0,6,5,0
2743,0,6,6,0
1071,0,5,6,0
269,0,7,7,0
6151,0,6,6,1
5533,0,5,5,0
5364,0,6,7,0
10,0,4,5,0
5948,0,5,5,0
703,0,5,5,0
6466,0,7,6,0
2746,0,5,5,0
996,1,5,5,1
5677,0,6,6,0
1976,1,6,6,1
3023,0,6,6,0
2946,1,6,5,1
6110,0,5,5,0
6116,0,5,5,0
30,0,6,6,0
957,0,5,5,0
672,0,6,6,0
2337,1,6,5,1
2414,0,5,5,0
325,0,5,5,0
5279,0,5,6,0
4973,0,5,6,0
5600,0,6,6,0
2438,1,5,5,1
2691,0,5,5,0
5658,0,6,5,0
3308,0,6,6,0
4540,0,6,6,0
481,1,6,6,1
134,0,5,5,0
1754,0,7,7,0
453,1,6,6,1
216,0,5,5,0
1601,0,6,6,0
